军事贸易	军贸
玉蜀黍	玉米
调整工资	工资调整
档案裱糊	档案修裱
猎枪管理	猎枪弹具管理
侵略行动	侵略
解放台湾	台湾回归
航海标态	航标
边境游	边境旅游
军装	军服
削价	降价
核事故应急救援	核事故救援
乡村绿化	农村绿化
无偿军事援助	无偿军援
中国共产党中央委员会全体会议	中央全会
技术密集列产业	高新技术产业
人民武装部	人武部
学术争论	学术讨论
部队部署	兵力部署
陆棚	大陆架
空中交通管制工作	空管工作
文献检索	检索
部分动员	局部动员
和平统一	和平统一问题
赤道锋	热带辐合带
导游证	导游资格证
矿产业	采矿业
党务	党务工作
电视节目	广播电视节目
中央顾问委员会委员	中顾委委员
化学制品制造业	化学制品业
杀手锏武器装备	杀手锏装备
消防设备	消防器材
侵略行径	侵略
麻醉药	麻醉剂
行管	行政管理
调车	车辆调度
中央处理器	CPU
周围介质条件下试验	环境试验
内核	内部审计
统一购买	统购
军事体育运动	军事体育
国家债券	国库券
科教兴县	科教兴国战略
联合收割机	联合收获机
人大常委委员	人大常委
环境保护产业	环保产业
反恐	反恐怖活动
军教片	军教影片
污水	废水
投敌叛变	叛变
武装组织	武装力量
外国语	外语
痕迹检查	迹检
光学反干扰	光电反干扰
参考材料	参考资料
积极干扰	有源电子干扰
工作委员会	工委
文职	文职干部
移植器官	器官移植
全民所有制企业	国有企业
全民义务植树	义务植树
研究试验	研制试验
小银行	小金库
气象管理局	气象局
大气湿度	湿度
检务	检察业务
任职资格	任职条件
生活废水	生活污水
羁押罪犯	羁押
社会生产力	生产力
移动台	移动电台
无产阶级	工人阶级
外科手术式战争	局部战争
拉练	野营训练
筹资	集资
生产手段	生产资料
热带辐合区	热带辐合带
政治局势演变	政局演变
出租车	出租汽车
手提电脑	笔记本电脑
溃坝	溃决
英模	英雄模范
药学	药物学
残废军人	残疾军人
思想政治教育	思想教育
震后重建	防震减灾
技术政策	科技政策
仪表厂	仪器仪表厂
作战结果	战果
中央银行	中国人民银行
遥测术	遥测
电子战支援侦察	电子对抗支援侦察
枪械工业	兵器工业
