军事贸易	军贸
军营绿化	营区绿化
侨属	侨眷
合议制	合议庭制度
微波接力通信	微波中继通信
引渡	罪犯引渡
军事港口	军港
化学肥料	化肥
档案解密	解除密级
敌我兵力对比	兵力对比
税收种类	税种
通讯卫星	通信卫星
通信电子战侦察	通信对抗侦察
军事管制委员全	军管委员会
军队报刊	军队期刊
城市居民点用地	出让土地
电子地图	数字地图
广播电视	电视广播
风暴海啸	海啸
家教	家庭教育
资料解密	解除密级
节目	节假日
商业中心	商业网点
爱国卫生委员会	全国爱卫会
BB机	无线寻呼机
龙吸水	水龙卷
反电子措施	电子干扰
侦察通信联络	侦察通信
万国邮政公约	万国邮政日
迎外部队	仪仗队
保密条例	保密规定
食品加工业	食品工业
军校	军队院校
扫黄	扫黄打非
武器装备禁运	武器禁运
心战	心理战	政治渗透
文物研究	考古研究
党代表会议	党代表大会
武器装备分级管理	装备分级管理
江盗	盗窃船运物资
军队建制	军队体制
原子战争	核战争
军纪委	军队纪律检查委员会
电子战情报侦察	电子对抗情报侦察
战术自动化指挥系统	战术指挥自动化系统
武器装备维修	装备维修
社教	社会主义教育
人民防空通信	人防通信
违纪	违纪行为
文革	文化大革命
个人所有制企业	个体企业
台资企业	台商企业
销路	销售渠道
违法狩猎	非法狩猎
中共中央纪律检查委员会常务委员会会议	中央纪委常委会议
三金工程	金字工程
海上航行计划	航海计划
军用转民用	军转民
冻雨	雨凇
中国人民政治协商会议	政协会议	政协
安全设备	安全防护设备
陆架	大陆架
后方勤务保障	后勤保障
医疗设备	医疗器械
投资者	投资人
水上体操	花样游泳
炒汇	外汇交易
效费比	费效比
军事人犯	军事罪犯
反恐怖	反恐怖活动
森林副产品	林业副产品
合约	合同
军备限制	军备控制
看押勤务	看押看守勤务
大气	地球大气
个人电脑	微型计算机
金属制品业	金属制品工业
法定代表人	法人
报刊收订工作	报刊征订
人为干扰	电子干扰
任免权限	任免权
生活资料	消费资料
军工产品产量	军品产量
人防工事	人防工作
两面间谍	双重间谍
货盗	盗窃运输货物
军事干预	武装干涉
岗贴	岗位津贴
驻地警卫	军营警卫
军品贸易法规	军贸法规
直接调拨	直拨
科教兴工	科教兴国战略
反政府斗争	反政府活动
著作权	版权
时梅雨	梅雨
宗教节	宗教节日
舰船工业	船舶工业
制鞋业	鞋帽工业
会计账本	会计账簿
停止战争	停战
舰船导航	舰艇导航
咨询服务	咨询
科学研究机构	科研机构
馈赠	增予
档案提供利用	档案利用
响雨	冰雹
劳保	劳动保护
休干所	干休所
技术进步	科技进步
税收行为人	纳税人
伤残人士	伤残人员
高压脊	高压楔
集团军医院	野战医院
文选	文集
时间限制	时限
企图	意图
断绝外交关系	断交
电磁对抗	电子对抗
境外旅游	出境游
热屏蔽	隔热
军事航海、航空、航天	飞行表演
军队指挥理论	指挥理论
联合指挥部	联合指挥所
火线	前线
装备费审计	装备审计
零担运输	零担货物运输
价格结构	价格构成
性传播疾病	性病
伪钞	假钞
收监	收监执行
民族贸易	民族商业
国际互联网	因特网
备战	战备工作
智力竞赛	知识竞赛
抢救遇难群众	抢救遇险群众
军队文艺工作团体	文工团
税务人	税务人员
研究会	研讨会
军工产品出口	军品出口
培养军地两用人才	两用人才培养
保密文电	机密文电
少数民族干部	民族干部
报刊征订工作	报刊征订
个体	个体户
大学	高等院校
非典型性肺炎	非典
邮政信箱	邮政信筒
国共和谈	国共谈判
药物注册	药品注册
作战运筹研究	军事运筹学
生命保障系统	生保系统
优生	优生优育
出厂价格	出厂价
汇费	汇兑资费
广播系列报道	广播连续报道
害虫防治	病虫害防治
国际规范	国际标准
财政审计	财政收支审计
黄埔同学会	黄埔军校同学会
领海界限	领海线
代理职务	代职
土地争议	土地纠纷
四个坚持	四项基本原则
宇航技术	航天技术
通讯	通信
战舰	军用舰船
军事著述	军事著作
电子对抗措施	电子干扰
行政主管部门	行政管理部门
商业人员	商人
体育经纪机构	体育经纪人
投资效果	投资效益
海上民兵	海防民兵
商品采购	商品购买
技术引进	技术引进
原理	理论
广播黑白电视	电视广播
水上运输保险	水险
歪风邪气	不正之风
科学技术会议	科技会议
军体	军事体育
武器工业	兵器工业
非正规军	地方部队
办学方向	办学方针
甲型肝炎	甲肝
冥器	明器
公路运输	挂车
共青团代表大会	团代会
长江三峡	三峡
副反应	药物不良反应
裁减军备谈判	裁军谈判
挂号邮件	给据邮件
武器装备预研课题	武器装备科研项目
地产纠纷	土地纠纷
引得	索引
全国人民代表大会常务委员会	全国人大常委会
流域专业规划	流域规划
统一收购	统购
安插私人	安插亲信
牲畜	家畜
雾凇	凇冰
海水淡化	海水淡化利用
建筑工业	建筑业
临场指挥	现场指挥
黄色出版物	淫秽出版物
战争占领	军事占领
集约式经营	集约经营
驱逐外国渔船	驱赶外国渔船
家庭保姆	保姆
军衔制	军衔制度
国家军事实力	军事实力
深水航道	航道
边防晤谈	边防会谈
澳门地区	澳门特别行政区
电讯保密	通信保密	通讯保密
军车	军用车辆
潜水艇	潜艇
国内债务	内债
赢利	盈利
党的纪律	党纪
海峡两岸关系	两岸关系
科学进步	科技进步
主管机构	主管部门
小水电	小水电站
统战	统一战线
基本建设项目	基建项目
每月报表	月报
巨大损失	重大损失
工业贸易结合	工贸结合
交换系统	通信交换系统
工厂搬迁	工业疏散
削减军备	裁军
保障系统	支援系统
一级财政	中央财政
海上运输保险	海上保险
国土	国有土地
节假日旅游	假日旅游
空中测量	航空测量
大哥大	移动式手持机
空间飞行器	航天器
大气乱流	大气湍流
医用废弃物处理	医疗废弃物处理
指挥控制通信情报系统	C31系统
区域划分	区划
人民警察	民警
战地宣传	阵地宣传
手机	移动电话机
电影脚本	电影剧本
重型武器	重武器
军事训练大纲	训练大纲
军事援助顾问团	军事顾问团
连续时间	持续时间
供需关系	供求关系
香港特区	香港特别行政区
世贸组织	世界贸易组织
节日活动	节假日活动
商品流通产业	商品流通业
还贷款	还贷
定密度气球	定高气球
贿赂罪	行贿罪
树挂	凇冰
党的章程	党章
气象卫星探空	气象卫星探测
军火采购	武器装备采购
战备、训练	三防训练
开放搞活	对外开放
股份合作企业	股份制企业
电子反干扰	反电子干扰
通令缉拿	通缉
桑蚕业	蚕桑业
药材作物	药用作物
化学纤维制造业	化学纤维工业
违法捕捞	非法捕捞
电磁战	电子对抗
申请表	申请书
供销单位	供销部门
雪害	雪灾
军事条例	军队条例
平定叛乱	平叛
座谈会纪要	会议纪要
全国人民代表大会	全国人代会	全国人大
军队文职干部	文职干部
自首	投案自首
技术贸易	技术市场
技术合作	科技合作
严打斗争	严打整治斗争
免于起诉	免诉
戈壁地区防御战役	防御战役
商品包装	产品包装
纪律检查	纪检
保密时限	保密期限
军事教育片	军教影片
军事科研单位	军事科研机构
审计结果报告	审计报告
观测天体定位	天文定性	天文定位
军官素质	军人素质
装备科研、技术基础	威力试验
军队政治工作研究	军队政工研究
水电站	水力发电站
后勤组织指挥	后勤指挥
外核	外部审计
一个国家两种制度	一国两制方针
戏曲	戏剧
工程用车	工程车
执业药师	药剂师
气候灾害	气象灾害
侦查员	侦查人员
抵偿贸易	补偿贸易
哲学学说	哲学理论
空军专用装备	空军装备
烟叶	烟草
航天发射市场	航天发射市场
法治	依法治理
共犯	同案犯
合作经济	集体经济
制黄贩黄	制售淫秽物品
电信业	电信服务业
三废综合利用	废物综合利用
卫生勤务保障	卫勤保障
干部晋升	干部任免
计算机互联网	互联网
谈话纪要	谈话记录
化生放防护训练	三防训练
庆祝大会	庆祝会
商业贸易审计	商贸审计
来信来访	信访
烤烟叶	烤烟
世行	世界银行
经济软着陆	软着陆
军事学	军事科学
陈列	陈列工作
军事动员	武装力量动员
中央书记处会议	书记处会议
黑风暴	沙尘暴
对投诚人员政策	对起义人员政策
三军联勤	联勤
空运	航空运输
贮备	储备
村民委员会	村委会
冶金机械	冶金设备
单耗	单位消耗
建材	建筑材料
人工增雨	人工降水
财经	财会经济
专利权	专利
飞行管制	空中管制
境外游	出境游
霉雨	梅雨
食品保藏	食品保存
飞机型号	机型
新时期建军总要求	军队建设总要求
纺织产品	纺织品
武装力量史	军史
停止战斗	停战
国际公法	国际法
一点多址微波设备	微波通信设备
人大常务委员全	人大常委会
管理方法	管理办法
食油	食用油
光电对抗干扰	光电干扰
铸造设备	铸造机械
试通航	试航
无法投递邮件	无着邮件
非核有限战争	局部战争
工业尘	工业粉尘
工业枢纽	工业中心
温度场	温度分布
侵略行为	侵略
土特产	土特产品
羽绒制品业	羽绒工业
通讯保密	通信保密
货运	货物运输
空气密度	大气密度
核战争战略	核战略
农副产品加工业	农产品加工业
军用港口	军港
美术品	艺术作品
洲际导弹	洲际弹道导弹
欧洲共同体	欧共体
第二世界	发达国家
领海界线	领海线
社区	街道办事处
五句话总要求	军队建设总要求
刑罚种类	刑种
裁谈会	裁军谈判
人民防空袭通信	人防通信
清理档案	档案清理
舰艇编队	海上编队
初步裁决	初裁
时雨	梅雨
国防后勤	军事后勤
大客车	大轿车
合营	合作经营
电报密码	电报代码
武装押送	武装押解
城镇人口	非农业人口
防原子	核武器防护
主题标引工作	主题标引
非核战争	常规战争
商标专用权	商标权
臭气层破坏	臭氧层破坏
军队后勤指挥	后勤指挥
大地测量卫星	测地卫星
军队体育工作团体	体工队
资讯服务	信息服务
治理淮河	治淮
台盟	台湾民主自治同盟
军衔等级制	军衔制度
自卫战争	反侵略战争
电子产业	电子工业
殡葬	丧葬
光电抗干扰	光电反干扰
储蓄存款	储蓄
刑事处罚	刑罚
科学技术潜力	科技潜力
输电网	电网
人民防空演习	人防演习
积压物	积压物资
回教	伊斯兰教
人民防空工作	人防工作
商业津贴	商业补贴
基层党组织	党的基层组织
电话通信	电话
查封	清查
数字多路复用设备	数字复用设备
上市企业	上市公司
出境旅游	出境游
职务调整	调职
最后裁定	最终裁定
臭氧空洞	臭氧层空洞
总统选举	大选
严重警告处分	严重警告
金库	国库
文书处理	文件处理	公文处理
幼儿教育	学前教育
计息日期	计息期
荒漠草原地区进攻战役	进攻战役
区人民法院	基层人民法院
价格组成	价格构成
账册	账簿
以权制权	监督制衡
巡视	视察
投诚人员	起义投诚人员
武器擦拭	武器保养
部队文艺	军队文艺
周边游	边境旅游
会议参考资料	会议资料
电信干线	通信干线
战争史	战史
联合办案	合作办案
反干扰	反电子干扰
程度	度
学生军事训练	学生军训
科学技术	科技
科学技术政策	科技政策
中国人民解放军院校	军队院校
三联供	三联技术
国防动员体制	动员体制
军力	兵力
价值法则	价值规律
写本	抄本
放火	纵火
偷听器	窃听器
军事援助协议	军援协定
直播卫星业务	广播卫星业务
港澳台商投资企业	港澳台商企业
取样	采样
海军专用装备	海军装备
食品制造业	食品工业
寒潮天气	寒湖
防生物战	生物武器防护
制造业	工业
火箭核战略	核战略
痕检	迹检
盗伐	盗伐林木
洪涝灾害	水灾
大气压强	大气压
企业经营机制	企业经营
水上芭蕾	花样游泳
舰船出访	舰队出访
对外投资	国际投资
经济法则	经济规律
贸易契约	贸易合同
网路技术	网络技术
党的作风建设	党风建设
集体所有制企业	集体企业
政治审查	政审
倒卖船票	倒票
电视宣传	影视宣传
空间技术应用	航天技术应用
商业区	商业网点
外国军队	外军
进梅	入梅
澡堂	淋沐设施
列检	列车检查
个人工商户存款	个人存款
雷场探测	探雷
患者	病人
军功奖章	军功章
外联工作	党的外联工作
主题地图	专题地图
热带风暴	台风
防细菌	生物武器防护
单人业主制企业	个体企业
粮食预留	粮食储备
防化学	化学武器防护
调资	工资调整
政协全国委员全常务委员	政协常务委员
外交代表	外交使节
乡村邮路	农村邮路
包换机	分组交换机
平均税率	税率
核查	核查工作
中央工作会议	中共中央工作会议
航空管制建设	空管建设
停止执行职务	停职
雷达对抗措施	雷达干扰
野战供水	野战给水
阿拉伯国家联盟	阿拉伯联盟
调查研究	调研
事件(公安)	事件
总部装备储备	总部储备
粗放式经营	粗放经营
技术能力	技能
婚姻介绍服务	婚介服务
样机样品费	科研经费
总里程	里程
资产负债表审计	财务报表审计
军事邮政	军邮
港币	港元
供销关系	供求关系
非金属矿工业	非金属矿采选业
非处方药	OTC药
商号	商店
物业服务	物业管理
交接清册	交接文据
考察团	访问团
电报通信业务	电报业务
专属物资	专用物资
供需调节	供求关系
空间飞行器发射	航天器发射
BP机	无线寻呼机
信息加工	信息处理
中药材	中草药
燃气管线	燃气管道
清洁用车	清洁车
技术文档	技术文件
塑料制品业	塑料制品工业
民族志	民族史志
新药注册	药品注册
劳功改造	劳改
部队纪律教育	军纪教育
空军自动化指挥系统	空军指挥自动化系统
勘查开发	矿产勘查
周转费	运行费
大气条件下试验	环境试验
港台合作经营企业	港澳台商企业
交易磋商	贸易谈判
电视	电视广播
纠风	纠正不正之风
气象保障	气象服务
技术服务业	科技服务业
侨资企业	华侨投资企业
进出口税	关税
联勤工作	联勤
支谱	家谱
指挥控制通信计算机情报系统	C41系统
办公业务资源网	外网
收支两条线管理	两条线管理
边防哨卡	边防哨所
军事管制委员会	军管委员会
专门审计	专项审计
野营	野营训练
服饰	服装饰品
中国人民解放军建军节	八一建军节
海上运输保卫	海运保卫
产业优化升级	产业升级
物资综合平衡	物资平衡
其它费用	杂费
发展科学文化艺术方针	双百方针
旅游团	旅游团队
中央领导同志	党和国家领导人
降雪量	降水量
台属	台眷
核爆炸试验	核试验
会议参考资例	会议资料
对外开放政策	开放政策
军需品储备	军用物资储备
节日口号	节假日口号
坦克装甲类装备	装甲装备
空降兵部队通信	空降兵通信
经济效果	经济效益
调动兵力	部队调动
体格检查	体检
修船厂	船厂
海军自动化指挥系统	海军指挥自动化系统
灌溉设备	灌溉机械
饮水	饮用水
装甲类装备	装甲装备
救火车	消防车
西医教育	医学教育
退休金	退休费
诊所	医院
军队歌曲	部队歌曲
三通	两岸三通
农业人口	农村人口
对潜艇通信	对潜通信
八六三计划	863计划
国防后备力民建设	后备力量建设
技术贸易结合	技贸结合
警用装备	武警装备
核防护	核武器防护
人防演练	人防演习
旅客运输	客运
光学对抗干扰	光电干扰
后勤保障现代化	后勤现代化
后方勤务部署	后勤部署
艺术品	艺术作品
技术档案	科技档案
退役	退伍
战争动员法规	动员法规
海上运输	海运
台风槽	台风低槽
人造卫星定型	卫星定型
大气臭氧层	臭氧层
违法	违法行为
优化资本结构	资本结构优化
军民纠纷	军地纠纷
联运	联合运输
电子斗争	电子对抗
战备演练	战备演习
作战硕案	作战方案
航母	航空母舰
军事审判院	军事法庭
药房	药剂科
国际共运	国际共产主义运动
十二金工程	金字工程
警卫员	警卫人员
常规兵器	常规武器
农产品初加工服务业	农产品加工服务业
特种器械	医疗器械
宗谱	家谱
沿海	沿海地区
回归祖国问题	和平统一问题
药品副作用	药物不良反应
支援国家经济建设	支援国家建设
卫勤组织战术	卫生勤务
亚洲体育运动会	亚运会
政治工作部门	政工部门
军民联合防卫	军民联防
核防护气象保障	核武器防护
对外外联络工作	外联工作
组织机构	机构
建立外交关系	建交
尖端武器	高技术武器
接力站	中继站
多国公司	跨国公司
解除行政处分	撤销行政处分
甄别	甄别工作
技术规范	技术标准
军运	军事运输
淡水养殖业	内陆养殖业
被告人	被告
美展	美术展
常务委员会	常委会
月球旅行	月球探测
天气局	气象局
代理(法律)	法律代理
入霉	入梅
贮藏	储藏
军人纪律教育	军纪教育
炒股	股票交易
国防运输	军事运输
商检	商品检验
血站	血库
台湾独立	台独问题
刑讯	刑讯逼供
洪灾	水灾
废弃装备	报废装备
运输费	运费
原告人	原告
竹材采运业	林木采运业
印染业	印染工业
押犯	武装押解
中行	中国银行
公款	公费
私人企业	私营企业
远洋渔业	海洋渔业
乱罚款	三乱
强台风	台风
军事科研、外事、保密工作	保密检查
滥发钱物	滥发奖金实物
统制贸易	对外贸易国家专营制
党委会	党委
港澳台商投资股份有限公司	港澳台商企业
装备订货、军援军贸	武器装备采购
人民来信来访工作	信访工作
科技市场	技术市场
赤道辐合带	热带辐合带
天气雷达	气象雷达
出资人	股东
科教兴国	科教兴国战略
民主人士	爱国人士
审计单位	审计机构
军营文化生活	部队文化生活
人才分流	人才流动
阴天	阴
军工产品进口	军品进口
民革	中国国民党革命委员会
督查	督查工作
体育比赛	体育竞赛
科技开发	技术开发
武器装备试验环境	武器装备试验
党的作风	党风
中学生军事训练	学生军训
社情动态	社会动态
扶贫帮困	扶贫
生态环境旅游	生态旅游
成品	产品
文艺工作团	文工团
空间技术	航天技术
测雨雷达站	天气雷达站
防空专业队伍	群众防空组织
电子战侦察	电子对抗侦察
武器研制	武器装备研制
军检	军代表检验
外交事务军官	外事军官
审计规定	审计标准
断梅	出梅
舰船越境	舰船越境
公文主题词表	公文叙词表
农民工	民工
判处	判决
西药学	药物学
红外云图	红外卫星云图
财政审计科	审计科
防护设备	安全防护设备
卫国战争	反侵略战争
医学支援	卫勤保障
高空天气站	高空气象站
少年军校训练	学生军训
制定	制订
老年	老年人
真迹传真	传真
新约	圣经
军事预算	国防预算
国际机构	国际组织
军务	军务工作
国家政治实力	政治实力
厅务会议	厅务会
边界联合检查	边界联检
农副产品加工	农产品加工
暴风雪	雪暴
军运设施	军事运输设施
学说	理论
工作安排	工作计划
地震灾害	震害
比赛	竞赛
干旱	旱灾
旅游区绿化	风景区绿化
空气质量	大气质量
中国共产党全国代表会议	党的全国代表会议
公务费	行政费
中草药种植业	药材种植业
飞机越界	飞机越境
商业补助	商业补贴
看守勤务	看押看守勤务
科教兴农	科技兴农
测量控制系统	测控系统
进攻作战	进攻
交换过程	交换
税金	税款
雨量	降水量
深空通信	空间通信
优育	优生优育
农业用地	农用地
复线	道路复线
中央顾问委员会	中顾委
裁减军备	裁军
军队刊物	军队期刊
作战准备	战备
城市基本建设档案	城建档案
武器装备试验条件	武器装备试验
国有	国家所有制
生产绿地	居住区绿化
采掘业	采矿业
劳务合同	劳动合同
俘虏问题	战俘问题
中央纪委	中纪委
军事交通、物资、基建营房勤务	军队仓库
天气系统	气压系统
可维护性	维修性
最佳设计	最优设计
军队营养	部队营养
不稳定性	稳定性
中央政治局常务委员会委员	中央政治局常委
生产总值	总产值
后勤理论	军事后勤理论
水产加工	水产品加工
硬赤字	财政赤字
大企业	大型企业
统一战线工作	统战工作
军事管制	军管
边防海防通信	边海防通信
中型企业	中小型企业
希伯来教	犹太教
野战自动化指挥系统	野战指挥自动化系统
商品住宅	商品住房
锋面	锋
中国象棋	象棋
军事干涉	武装干涉
对内贸易	国内贸易
档岸编号	档号
土地划分	土地规划
文体用品制造业	文体用品工业
非话电信业务	非话业务
兵员征集	征兵
特用经济林	经济林
涝灾	水灾
国民生产净值	国民生产净产值
大陆度	大陆度指数
国际共产主义运动	国际共运
航海标志	航标
政策银行	政策性银行
作战会	作战会议
兵制研究	军制研究
电报电码	电报代码
现代化后勤	后勤现代化
土地资产处置	土地资产处理
出国留学	留学
尖端技术	高新技术
摄像器材	摄像设备
近战武器	轻武器
湿润度	湿润指数
军械工业	兵器工业
土地使用费	土地征用费
证明书	证书
死刑缓期执行	死缓
文艺表演团体	文艺团体
法	法律
HIV感染	艾滋病
基因组计划	人类基因组计划
处置突发事件方案	处突方案
马列主义政党	马克思主义政党
电报通信网	电报网
中程制导	制导
植树造林	造林
战备道路	战备公路
生物防护	生物武器防护
后备役部队	预备役部队
档案主题词表	档案叙词表
音像	音像制品
微机	微型计算机
海上搜救	搜救
初级企业制度	传统企业制度
航海运输	海运
气象站网	气象台站网
医德医风	医德
气候形成因子	气候因子
体协	体育协会
三材	建筑材料
残废	残疾
卫星载试验	航天器载试验
全国人民代表大会常务委员会会议	全国人大常委会议
后勤工作现代化	后勤现代化
原子武器	核武器
无线电通信反干扰	通信反干扰
中央军事委员会	中央军委
全集	汇集
传染性疾病	传染病
海峡两岸关系协会	海协会
地质矿产业	采矿业
外包工程	出包工程
冷藏设备	冷冻冷藏设备
打击非法出版活动	打非
第三性界	发展中国家
支援农业	支农
入会费	会费
军事学术研究机构	军事科研机构
武器装备分配	装备分配
预算赤字	财政赤字
经济贸易委员会	经贸委
废品	废旧物资
国外贸易	对外贸易
维护稳定	维稳
晴	晴天
武装督察	武警
转换债	转换债券
外交	外交工作
统收	统收统支
工程建设计划	工程计划
牛奶加工机械	乳品加工机械
航班时刻	时刻表
国际铁路联营合同	列车
1989年春夏之文的政治风波	1989年政治风波
公文种类	文种
边境冲突	边界冲突
卫生支援	卫勤保障
武装押解勤务	武装押解
武器装备组织计划	装备组织计划
原油储备	石油储备
旅游产品	旅游服务产品
红皮书	白皮书
税后利润	利润
电子计算机制造业	计算机制造业
通航水道	航道
军事交通勤务	军交勤务
草地	牧草地
艺术馆	文化馆
监委	监察委员会
生产资料所有制	所有制
玩忽职守	渎职
营区环境卫生	环境卫生
验船	船舶检验
海洋潮汐	潮汐
旅游社	旅行社
断霉	出梅
航空器制造业	航空工业
刑事警察	刑警
设计	设置
提货单	提单
大学生军事训练	学生军训
落黄沙	浮尘
果园	果园地
武器装备采办	武器装备采购
撤消	撤销
去职	免职
市场制度	市场机制
马克思主义军事理论	马列主义军事理论
主要战斗装备体制	主战装备体制
联合经营	联营
治理黄河	治黄
清洁设备	卫生设备
市民	城市居民
税收制度	税制
延期费	滞期费
寒潮天气过程	寒湖
邮运计划	邮政运输计划
包谷	玉米
战争准备	战备
中国人民政治协商会议全国委员会主席办公会议	全国政协主席办公会议
电磁斗争	电子对抗
备战演习	战备演习
军民兼容	军民结合
军事科学研究部门	军事科研机构
空对空导弹	空空导弹
国防企业	军工企业
舰船来访	舰队来访
防务支出	国防支出
别字	错别字
普法	普法工作
图书展销	书展
国民收入	国民经济净产值
热带山岳丛林地区防御战役	防御战役
以进养出	来料加工
驻止野营训练	野营训练
秘密等级	密级
长远规划	长期规划
军队干部工作	干部工作
族谱	家谱
全国人民表大会常务委员会会议	全国人大常委会议
外国政府援助	外援
关贸总协定	世界贸易组织
药品生产企业	制药企业
服装加工机械	服装机械
人防专业队伍	群众防空组织
作风养成教育	养成教育
水上运输	水路运输
电信终端	电信终端设备
储藏量	储量
风雪流	雪暴
防务战略	国防战略
交通警察	交警
中国共产党第十—届中央委员会第三次全体会	党的十一届三中全会
风切变线	切变线
真迹传真机	传真机
军事训练工作	训练工作
火箭核战争	核战争
电子邮政	电子信箱
速度	速递业务
抚恤金	抚恤费
飞机播种造林	飞播造林
潜水艇探测	潜艇探测
书刊市场	出版市场
程序编制	软件开发
资产处置	资产处理
中国人民政治协商会议全国委员会常务委员会会议	全国政协常委会议
中外合资经营企业	合资企业
军队宗旨教育	建军宗旨教育
社会服务	社会化服务
价格监督	物价监督
科学技术档案	科技档案
不正当两性关系	生活作风问题
高气压	反气旋
设备入网	设备进网
地权	土地产权
评议行风	行风评议
运输数量	运输量
互相监督	十六字方针
党纪检查工作	纪检工作
节气	二十四节气
烟草加工业	烟草工业
空降部队通信	空降兵通信
则政储备	财政后备
航管建设	空管建设
运货	货物运输
干部轮训	干部培训
游览区	旅游区
材料(工业)	材料
文换关系	交换
物流储备	物资流通储备
领导人员	领导人
补交税款	补税
部队建设	军队建设
牧地	牧草地
下基层锻炼	下基层
党组织	党的组织
故意放火	纵火
服装佩饰	服装饰品
枢纽站	交通枢纽
职工代表大会	职代会
武装斗争	军事斗争
婚前保健	婚前检查
群众表扬信	表扬信
勘察设计	勘察
参阅文件	参考文件
番茄	西红柿
武警通信	武警部队通信
中共中央扩大的工作会议(1962)	七千人大会(1962)
烈士家属	烈属
技术信息	科技信息
地契	土地证
精神药物	精神药品
军顾团	军事顾问团
募捐义演	义演
财会工作	财务工作
技改项目	技术改造项目
断裂地震	构造地震
运输费用	运费
钢轨	铁轨
环卫	环境卫生
干旱区	旱区
军事教学影片	军教影片
防化学武器	化学武器防护
医政	医政管理
纺织	纺织工业
军事审判庭	军事法庭
预备役部队训练	预备役训练
常委委员会	常委会
军事科学技术	国防科技
武器装备研究	武器装备科研
拘禁	拘留
毒剂武器	化学武器
国家界限	国界
对外联络工作	外联工作
政治评论家	政论家
军队领导人	军队领导人员
雪量	降水量
外长	外交部长
狗	犬
仪器	仪器仪表
农话	农村电话
人民代表大会常务委员会	人大常委会议
侦察通联	侦察通信
军事援助	军援
电焊设备	焊接设备
版权	著作权
全国运动会	全运会
土地使用规划	土地利用规划
外经	对外经济贸易
部颁文件	部委文件
工业交通审计科	审计科
舰船越界	舰船越境
价格补贴	物价补贴
党委员会	党委
疆界	边界
行包	行李
人民防空指挥	人防指挥
文件	公文
仪表	仪器仪表
防生物武器	生物武器防护
联合国教育、科学及文化组织	联合国教科文组织
全国人代会	全国人大
火化	火葬
区域组织	区域性组织
长期共存	十六字方针
出国游	出国旅游
科学社会主义理论	科学社会主义
组织工作	领导班子建设
航天遥感数字正射影像数据库	地理信息数据库
灭菌剂	消毒剂
档案专业教育	档案教育
军事科研工作	军事科研
土地监查	土地监察
飞机事故	飞行事故
品德教育	德育
造纸业	造纸工业
中国共产党全国代表大会	党的全国代表大会
烟草制品业	烟草工业
军工产品结构	军品结构
图章	印章
工效结合	工效挂钩
国防网	国防通信网
敏感武器装备	敏感装备
药学教育	医学教育
软件开发业	软件业
军队后勤指挥自动化	后勤指挥自动化
逆用间谍	双重间谍
局部地区动员	局部动员
警种	警察种类
航空遥感测绘	遥感测绘
1989年春夏之交的政治风波	1989年政治风波
工程船舶	工程船
三通问题	两岸三通
城乡基建	城乡基础建设
偷渡	外逃
经贸	经济贸易
军官退役	干部退役
刺灸法	针灸疗法
邮政运输调度	邮运调度
电汇	电报汇款
供水设备	给水设备
人民代表大会	人代会	人大
国家行政机关	政府机关
户口	户籍
通信网络	通信网
邮筒	邮政信筒
消费引导	消费导向
地貌	地形
征地	土地征用
科教兴牧	科技兴牧
需要	需求
邮片	邮资明信片
国际标准舞	国标舞
外国军事研究	外军研究
平均数	平均指标
军区装备储备	军区储备
军事法令	军事法规
广播影视	广播电影电视
航空母舰编队	航母编队
保护耕地	耕地保护
外国轮船	外轮
腐化堕落	腐败
龙卷	龙卷风
电视中继采访	电视采访
土地使用管理	土地利用管理
防台	防台风
划拨土地	划拨用地	土地征用
国家金库管理	国库管理
保密守则	保密规定
药流	药物流产
婚庆服务	喜庆服务
执勤对象	执勤目标
党建	党的建设
辩证唯物论	辩证唯物主义
邮政包裹	包裹
国画	中国画
军队干部退役安置	退役安置
军援顾问团	军事顾问团
外经贸	对外经济贸易
高空脊	高压楔
儿歌	儿童歌曲
黄梅雨	梅雨
会议议题	议题
急性呼吸系统综合症	非典
作战物资贮备	作战物资储备
人民防空建设	人防建设
精神奖励	精神鼓励
特种经济林	经济林
局务会议	局委会
卫生勤务机构	卫勤机构
事业单位审计	行政事业审计
纪检委	纪委
商业产品加工	商业加工
军队文化艺术	军队文艺
社教运动	社会主义教育运动
冻结降水	雨凇
大常规冲突	常规战争
沙旋	沙尘暴
野战军	野战部队
品种资源	种质资源
互连网	互联网
收支	收支挂钩
欺骗性干扰	欺骗性电子干扰
兵制	军制
侨务	侨务工作
防沙治沙	风沙防治
尸体检查	尸检
社会主义教育运动	社教
宣作鼓动	宣传
爱滋病	艾滋病
杀手锏武器	杀手锏装备
民兵战术训练	民兵训练
C2系统	指挥控制系统
核生化防护训练	三防训练
马克思主义辩证法	唯物辩证法
军工产品	军品
科技保密	技术保密
采煤工业	煤炭开采业
境内游	国内旅游
巡逻警察	巡警
国企	国有企业
非法越境	越境
会计法规	会计法
军费开支	国防支出
税	税种
无产阶级文化大革命	文革
中国与欧盟关系	中欧关系
航天器制造业	航天工业
国防意识	国防观念
学生军事训练制度	学生军训制度
国家贮备	国家储备
沿江	沿江地区
注会	注册会计师
电报通信	电报
防空袭	防空
地下水位降落漏斗	漏斗
西医	现代医药学
大头菜	甘蓝
航摄	航空摄影测量
贿赂	行贿
保函	保价函件
白果	银杏
议席	议会席位
吸引外资	利用外资
卫生检疫	检疫
英林匹克运动会	奥运会
