序 号,出货条码,品名,规格,单位,:销售数量,售价,:销售金额,:毛利,:毛利率％,:成本金额,商品库存,最新货商
4531,6920174760354,超威杀蚊剂(青柠檬)600克,1*12,瓶,2,20.5,41,6.4,15.61,34.6,3,2044
4532,6920174760378,立白超威艾草清香10单盘,*54盒,盒,15,3,45,9.75,21.67,35.25,30,2044
4533,6920174760590,立白电蚊香清香40ML,40ML*30盒,盒,6,12.5,75,12,16,63,13,2044
4534,6920174760644,超威灵珑杀虫气雾剂600ml,1*12,瓶,6,17.5,105,11.85,11.29,93.15,11,2044
4535,6920174761047,立白生姜洗洁精500g,500g*28,瓶,15,4.4,66,6.82,10.33,59.19,15,2044
4536,6920174761061,立白生姜洗洁精2KG,2KG*8,瓶,11,16.9,185.9,15.95,8.58,169.95,15,2044
4537,6920174761269,超威檀香加大盘蚊香,1*48,盒,11,3.5,38.5,9.9,25.71,28.6,30,2044
4538,6920174761283,立白超威灵珑黑蚊香(熏衣草),1*60,盒,12,3.2,38.4,7.2,18.75,31.2,2,2044
4539,6920174761535,超威清香40单盘家庭装蚊香,,筒,13,9.5,123.5,18.78,15.2,104.72,25,2044
4540,6920174761665,超威田园无烟加大盘蚊香,1*48,盒,29,3.5,101.5,13.45,13.25,88.05,35,2044
4541,6920174761788,西兰空气清新剂清新果园柠檬香320毫升,320毫升*20,瓶,3,10.5,31.5,6,19.05,25.5,3,2044
4542,6920174761795,西兰空气清新剂原野茉莉320毫升,320毫升*20,瓶,1,10.5,10.5,2,19.05,8.5,12,2044
4543,6920174761825,西兰固体清香剂原野茉莉70克,70克*30,个,7,4.5,31.5,8.63,27.41,22.87,9,2044
4544,6920174761832,西兰固体清香剂热带雨林兰花香70克,70克*30,个,4,4.5,18,4.93,27.41,13.07,8,2044
4545,6920174761863,立白新一代洗洁精1.68千克,*8瓶,瓶,16,14.3,228.8,21.6,9.44,207.2,5,2044
4546,6920174761931,立白木瓜洗洁精500克,500克*28,瓶,8,4.4,35.2,5.66,16.09,29.54,12,2044
4547,6920174761955,立白木瓜洗洁精1.68公斤,1*8,瓶,2,17.2,34.4,8,23.26,26.4,9,2044
4548,6920174761979,立白芦荟洗洁精500克,1*28,瓶,15,4.4,66,10.5,15.91,55.5,26,2044
4549,6920174761993,立白芦荟洗洁精1.68克,1*8,瓶,4,17.2,68.8,6.4,9.3,62.4,6,2044
4550,6920174762631,立白超威灵珑檀香卫生蚊香10克*5双盘,*48盒,盒,18,3.5,63,6.3,10,56.7,35,2044
4551,6920174762921,立白生姜洗洁精1.5千克,1*8,包,18,13.2,237.6,22.5,9.47,215.1,10,2044
4552,6920174763140,西兰液体清新剂(绿茶)320ML,*20瓶,瓶,2,10.8,21.6,4.6,21.3,17,10,2044
4553,6920174763171,西兰固体清新剂(绿茶)70克,*30个,个,6,3.9,23.4,3.8,16.24,19.6,8,2044
4554,6920174763188,西兰固体清新剂(桂花)70克,*30个,个,3,3.9,11.7,1.9,16.24,9.8,19,2044
4555,6920174763195,西兰固体清新剂(百合)70克,*30个,个,6,3.9,23.4,3.8,16.24,19.6,11,2044
4556,6920174763416,彩奇草本洗洁精1.5KG,*8瓶,瓶,13,11.5,148.5,18.5,12.46,130,11,2044
4557,6920174764116,立白金桔洗洁精500克,500克*28瓶,瓶,30,3.9,117,24,20.51,93,19,2044
4558,6920174764123,立白金桔洗洁精720克,720克*18瓶,瓶,3,6.1,18.3,3.15,17.21,15.15,22,2044
4559,6920174764130,立白金桔洗洁精1.25KG,1.25KG*8瓶,瓶,10,10.8,106,17.5,16.51,88.5,6,2044
4560,6920174764147,立白金桔洗洁精1.5KG,1.5KG*8瓶,瓶,11,12.8,139.2,27.55,19.79,111.65,17,2044
4561,6920174764161,立白金桔洗洁精2KG,2KG*8瓶,瓶,2,17.2,34.4,6.8,19.77,27.6,9,2044
4562,6920174768374,彩奇洗洁精500毫升（清新果香）,500毫升*30,瓶,21,3.4,71.4,9.45,13.24,61.95,3,2044
4563,6920174770018,立白衣物柔顺剂1升,1升*12,瓶,7,11.3,79.1,9.1,11.5,70,11,2044
4564,6920174776546,立白厨房清洁剂500克,500克,瓶,3,16.8,50.4,11.4,22.62,39,6,2044
4565,6920174783490,立白（新一代）洗洁精500克,*28,瓶,282,4,1128,112.8,10,1015.2,239,2044
4566,6920174784015,立白香皂118克（浓郁馥香）,118克*72,块,8,3.5,28,6,21.43,22,33,2044
4567,6920174784022,立白香皂118克（铃兰花香）,118克*72,块,3,3.5,10.5,2.25,21.43,8.25,34,2044
4568,6920174784039,立白香皂118克（柠檬花香）,118克*72,块,8,3.5,28,6,21.43,22,36,2044
4569,6920174784046,立白香皂118克（清雅幽香）,118克*72,块,6,3.5,21,4.5,21.43,16.5,51,2044
4570,6920174788969,立白超威洁厕精(异型)500克,500克*30,瓶,9,5.9,53.1,3.45,6.5,49.65,0,2044
4571,6920174788990,立白超威洁厕精500克,500克,瓶,7,4.1,28.7,8.1,28.22,20.6,23,2044
4572,6920174797053,立白（新一代）洗洁精2千克,2千克*8,瓶,35,16.2,567,52.5,9.26,514.5,48,2044
4573,6920174798326,立白珍珠钙牙膏105克(清新薄荷）,105克*36,盒,3,3.6,10.8,1.97,18.21,8.83,24,2044
4574,6920174798418,立白珍珠钙牙膏(留兰香型)105克,105克*36,支,5,3.6,18,3.28,18.21,14.72,17,2044
4575,6920174798449,立白草本植物牙膏105克,105克*36,支,10,3.6,36,6.56,18.21,29.44,19,2044
4576,6920174798456,立白儿童牙膏(橘子)50克,50克,支,13,3.5,45.5,6.5,14.29,39,26,2044
4577,6920174798463,立白儿童牙膏(草莓)50克,50克,支,9,3.5,31.5,4.5,14.29,27,23,2044
4578,6920180210034,屈臣氏饮用矿泉水400ml,400ml*15,瓶,36,2,72,21.6,30,50.4,1,1161
4579,6920180210577,屈臣氏罐装苏打水345ml,345ml*24,听,28,4.3,120.4,15.4,12.79,105,98,1161
4580,6920180218771,新奇士西柚汁380ml,380ml*15,瓶,19,3,57,7.6,13.33,49.4,0,1161
4581,6920180219334,屈臣氏蒸馏水600ml,600ml*15,瓶,20,2.5,50,6,12,44,22,1161
4582,6920180232067,果汁先生甘蔗汁480ml,480ml*24,瓶,4,3.2,12.8,4.47,34.9,8.33,0,1161
4583,6920180239196,屈臣氏蒸馏水400ml,400ml*15,瓶,36,2,72,10.8,15,61.2,15,1161
4584,6920202866737,强化红牛250毫升,250毫升*24,听,77,6.8,523.6,61.6,11.76,462,91,1084
4585,6920202888821,红牛礼盒(12听装),,提,3,66,184.8,6.6,3.57,178.2,7,1084
4586,6920202888883,红牛饮料250毫升,250毫升,听,516,5.5,2838,380.29,13.4,2457.71,369,1070
4587,6920248220104,婴儿乐奇妙世界动物饼干100克,100克*50袋,袋,31,3.5,62,6.2,10,55.8,69,1048
4588,6920248220395,婴儿乐奇妙世界数字饼干100克,100克*50袋,袋,5,3.5,10,1,10,9,131,1048
4589,6920248222252,婴儿乐奶多多饼干80克,80克*36袋,袋,4,3.5,14,2.6,18.57,11.4,15,1048
4590,6920248222313,婴儿乐蛋多多饼干80克,80克*36袋,袋,1,3.5,3.5,0.65,18.57,2.85,17,1048
4591,6920248222368,婴儿乐奇妙世界字母饼干100克,100克*50袋,袋,9,3.5,18,1.8,10,16.2,120,1048
4592,6920253500987,日之选新莲八宝粥320克,320克*12听,听,43,2.9,96.7,4.4,4.55,92.3,103,1047
4593,6920253501472,日之选新燕八宝粥320克,320克*12听,听,30,2.9,68.1,8.1,11.89,60,111,1047
4594,6920253502189,金万源可口八宝粥320克,320克*24听,听,44,2.9,97.5,3.2,3.28,94.3,114,1047
4595,6920262312304,卡夫王子曲奇星酥性饼干醇香奶油口味85g,85g*48,袋,1,3.2,3.2,0.6,18.75,2.6,10,1048
4596,6920262317194,趣多多mini小饼干巧克力味55克,55克*24杯,杯,61,4.9,142.3,22.9,16.09,119.4,29,1048
4597,6920262317200,卡夫趣多多黄油味曲奇浓情巧克力72克,72克*24盒,盒,9,4.9,44.1,6.84,15.51,37.26,15,1048
4598,6920262317293,卡夫趣多多黄油曲奇巧克力味216克,216克*12盒,盒,1,13.6,13.6,2.47,18.16,11.13,3,1048
4599,6920262317309,卡夫趣多多黄油曲奇原味72克,72克*24盒,盒,4,5,20,2.72,13.6,17.28,19,1048
4600,6920262320002,mini优冠纯正牛奶味软香饼64克,64克*24杯,杯,8,5,40,4.96,12.4,35.04,24,1048
4601,6920262320019,mini优冠香蕉牛奶味软香饼64克,64克*24杯,杯,8,5,40,4.96,12.4,35.04,20,1048
4602,6920319302012,三惠麦香堡(夹心)豆沙面包46克,46克*80包,包,90,1.2,108,25,23.15,83,80,1035
4603,6920354800382,高露洁超强牙膏40克,1*72,支,22,1.6,35.2,5.28,15,29.92,0,2014
4604,6920354800399,高露洁超值牙膏90克,90克*48,支,18,2.9,52.2,8.1,15.52,44.1,26,2014
4605,6920354800412,高露洁全效牙膏100克,100克,支,1,8.9,8.9,1.13,12.7,7.77,15,2014
4606,6920354801877,高露洁三重功效牙膏140克,140克*48,支,12,3.9,46.8,6.6,14.1,40.2,0,2014
4607,6920354801884,高露洁超感白100克牙膏,1*48,支,5,8.9,44.5,5.65,12.7,38.85,19,2014
4608,6920354802331,高露洁草本牙膏90克,90克,支,15,2.9,43.5,6.75,15.52,36.75,54,2014
4609,6920354802638,高露洁儿童牙膏（水果）40克,40克*72,支,3,5.7,17.1,2.34,13.68,14.76,1,2014
4610,6920354802645,高露洁儿童牙膏（草莓）40克,40克*72,支,9,5.7,51.3,7.02,13.68,44.28,2,2014
4611,6920354802768,高露洁全效+美白牙膏100克,100克,支,1,8.9,8.9,1.13,12.7,7.77,16,2014
4612,6920354802775,高露洁三重功效牙膏90克,90克,支,5,2.9,14.5,5.5,37.93,9,33,2014
4613,6920354803109,高露洁草本牙膏140克,1*48,支,2,3.9,7.8,1.1,14.1,6.7,32,2014
4614,6920354803307,高露洁草本美白牙膏140克,140克*48,支,13,5.9,75.2,16.57,22.03,58.63,37,2014
4615,6920354803413,高露洁草本盐牙膏140g,140克*48,支,5,5.9,29.5,6.95,23.56,22.55,12,2014
4616,6920354803710,高露洁维C爽水晶牙膏90克,90克*72,支,3,3.2,9.6,1.35,14.06,8.25,26,2014
4617,6920354803826,高露洁冰爽清柠檬160克,1*48,支,1,12.9,12.9,1.61,12.48,11.29,0,2014
4618,6920354803833,高露洁冰爽茶香牙膏100克,100克*48,支,4,8.9,35.6,6,16.85,29.6,1,2014
4619,6920354803857,高露洁冰爽柠檬牙膏50克,50克*48,支,12,4.3,51.6,7.08,13.72,44.52,25,2014
4620,6920354804144,高露洁冰爽茶香型50克,1*48,支,14,4.3,60.2,8.26,13.72,51.94,46,2014
4621,6920354805400,高露洁防蛀美白牙膏90克,90克*48,支,6,3.2,18.9,4.2,22.22,14.7,14,2014
4622,6920354806360,高露洁草本翠爽牙膏90克,*72支,支,12,2.9,34.8,5.4,15.52,29.4,30,2014
4623,6920354806377,高露洁草本翠爽牙膏140克,*48支,支,10,3.9,39,5.5,14.1,33.5,50,2014
4624,6920354807329,高露洁草本牙膏90g+30g,90g+30g,支,89,2.9,258.1,40.05,15.52,218.05,103,2014
4625,6920354807343,高露洁超强牙膏90g+30g,90g+30g,支,10,2.9,29,6,20.69,23,3,2014
4626,6920354807473,高露洁防蛀美白牙膏90g+30g,90g+30g,支,19,2.9,55.1,8.55,15.52,46.55,2,2014
4627,6920354807770,高露洁健白防蛀牙膏100克,100克*48支,支,17,6.3,107.1,13.6,12.7,93.5,4,2014
4628,6920354807787,高露洁健白防蛀牙膏140克,140克*48支,支,10,9.9,99,12.6,12.73,86.4,-2,2014
4629,6920354808296,高露洁冰爽柠檬牙膏120克,120克*48支,支,9,10.3,92.7,17.67,19.06,75.03,8,2014
4630,6920354808302,高露洁冰爽茶香牙膏120克,120克*48支,支,10,10.3,103,18.7,18.16,84.3,30,2014
4631,6920354808388,高露洁冰爽薄菏牙膏180克,180克*48支,支,7,14.2,99.4,20.51,20.63,78.89,11,2014
4632,6920354808395,高露洁冰爽柠檬牙膏180克,180克*48支,支,4,14.2,56.8,11.72,20.63,45.08,4,2014
4633,6920354808401,高露洁冰爽茶香牙膏180克,180克*48支,支,2,14.2,28.1,5.56,19.79,22.54,14,2014
4634,6920354808456,高露洁冰爽劲白牙膏180克,180克*48支,支,8,14.2,113.6,21.92,19.3,91.68,5,2014
4635,6920354808555,高露洁360全面口腔健康-健康牙龈120克,120克*48支,支,5,12,60,8.35,13.92,51.65,8,2014
4636,6920354808562,高露洁360全面口腔健康-健康牙龈180克,180克*48支,支,2,16,32,4.4,13.75,27.6,19,2014
4637,6920354808579,高露洁360全面口腔美白牙膏120克,120克*48支,支,5,12,60,8.35,13.92,51.65,21,2014
4638,6920354808593,高露洁360全面口腔健康-健洁120克,120克*48支,支,6,12,72,10.02,13.92,61.98,27,2014
4639,6920354808609,高露洁360全面口腔健康-健洁180克,180克*48支,支,7,16,112,15.4,13.75,96.6,11,2014
4640,6920354808890,高露洁多能呵护软毛牙刷,*72支,支,4,5.8,23.2,7.33,31.61,15.87,2,2014
4641,6920354808982,高露洁超强牙膏140g,140克,支,197,3.9,765.3,138.84,18.14,626.46,21,2014
4642,6920354809200,三效优护牙刷单支装,1*72支,支,11,5.9,64.9,9.9,15.25,55,4,2014
4643,6920354809217,三效优护牙刷三支装,1*24组,组,1,13.9,13.9,2,14.39,11.9,15,2014
4644,6920354809347,高露洁冰爽薄荷牙膏120克+45克**,*48支,支,1,9.9,9.9,1.77,17.88,8.13,11,2014
4645,6920354809354,高露洁冰爽茶香牙膏120克+45克**+,*48支,支,1,9.9,9.9,1.77,17.88,8.13,4,2014
4646,6920354809361,高露洁冰爽劲白牙膏120克+45克**,*48支,支,3,9.9,29.7,5.31,17.88,24.39,10,2014
4647,6920354809477,高露洁冰爽薄荷牙膏180克送变色杯一个***,*48支,支,10,13.9,139,28.6,20.58,110.4,9,2014
4648,6920354809491,高露洁冰爽茶香牙膏180克送变色杯一个***,*48支,支,7,13.9,97.3,19.52,20.06,77.78,5,2014
4649,6920354809521,高露洁草本牙膏140克+50克,*48支,支,52,3.9,187.6,18.16,9.68,169.44,81,2014
4650,6920354809538,高露洁旋风护龈牙刷(新)单支装软毛,72支,支,6,6.9,41.4,5.4,13.04,36,31,2014
4651,6920354809545,高露洁旋风护龈牙刷(新)三支装软毛,*24套,套,3,15.9,47.7,6.3,13.21,41.4,9,2014
4652,6920354809743,高露洁冰爽薄荷牙膏180克送100克健白牙膏,180克*48支,支,23,13.9,319.7,65.78,20.58,253.92,7,2014
4653,6920354809750,高露洁冰爽茶香牙膏180克送100克健白牙膏,180克*48支,支,16,13.9,222.4,45.76,20.58,176.64,14,2014
4654,6920354809804,高露洁360度环动耀洁牙刷,*72支,支,2,15.9,31.8,3.6,11.32,28.2,10,2014
4655,6920368420422,伞塔牌牛肉面调料240g,240g*30,袋,9,6.5,58.5,9,15.38,49.5,16,1020
4656,6920368420439,伞塔牌麻辣面调料240g,240g*30,袋,4,6.5,26,4,15.38,22,22,1020
4657,6920368420460,伞塔牌担担面调料240g,240g*30,袋,4,6.5,26,4,15.38,22,4,1020
4658,6920368420477,伞塔牌杂酱面条料240g,240g*30,袋,10,6.5,65,10,15.38,55,5,1020
4659,6920368430230,焖烧王调料120包,120克*40包,包,3,3.6,10.8,1.8,16.67,9,8,1020
4660,6920368430247,伞塔牌水煮肉片调料50g,50g*60,袋,2,2,4,0.8,20,3.2,13,1020
4661,6920368430254,伞塔牌回锅肉调料50g,50g*60,袋,4,2,8,1.6,20,6.4,20,1020
4662,6920368430315,伞塔牌麻辣豆腐调料50g,50g*60,袋,7,2,14,2.8,20,11.2,22,1020
4663,6920368430322,伞塔牌红烧肉调料50g,50g*60,袋,9,2,18,3.6,20,14.4,20,1020
4664,6920368430339,爽口鱼调料158克,158克*40包,包,1,4.2,4.2,0.9,21.43,3.3,10,1020
4665,6920382000082,蟠龙酱花生120g,120g*80,袋,6,2.8,16.8,3,17.86,13.8,1,1020
4666,6920382000181,蟠龙咸干花生400g,400g*32,袋,1,11.2,11.2,4.2,37.5,7,20,1020
4667,6920382000303,蟠龙咸干花生200g,200g*60,袋,2,4.9,9.8,2.8,28.57,7,22,1020
4668,6920408010170,富士芳香樟脑丸110克,110克,盒,9,7.1,63.9,13.5,21.13,50.4,7,2062
4669,6920408010187,富士芳香樟脑丸50克,50克,包,15,3.9,58.5,13.5,23.08,45,16,2062
4670,6920408011191,富士防蛀防霉球剂（柠檬香）,90克,个,18,6.9,124.2,25.2,20.29,99,32,2062
4671,6920408011214,富士防蛀防霉片剂（清洁留兰香）130克,130克,包,2,11.8,23.6,4.8,20.34,18.8,3,2062
4672,6920408011245,富士防蛀霉片剂300克,300克*,包,12,16.9,202.8,40.8,20.12,162,15,2062
4673,6920408011252,富士防蛀防霉片剂150克,150克,包,9,9.9,89.1,18,20.2,71.1,16,2062
4674,6920408011283,富士防蛀防霉片剂150克,150克*48包,包,22,9.9,217.8,44,20.2,173.8,13,2062
4675,6920408011313,富士防蛀防霉片剂(薰衣草香）80克,80克*48包,包,18,6.8,122.4,27,22.06,95.4,12,2062
4676,6920448240902,金浩茶籽本香调和油5L,5L*4瓶,瓶,76,67.8,4185.3,119.3,2.85,4066,60,1185
4677,6920448250505,金浩茶籽橄榄调和油2.5L,25L*4瓶,瓶,8,55.8,319.2,-44.8,-14.04,364,25,1092
4678,6920448290006,金浩茶籽花生调和油2.5L,2.5L*4瓶,瓶,48,38.8,1453,61,4.2,1392,30,1185
4679,6920516402140,潮盛橄榄菜450克,1*24,瓶,9,11.8,106.2,19.35,18.22,86.85,25,1026
4680,6920541317266,春娟驱蚊花露水98ML(玻璃瓶),98ML*40瓶,瓶,5,6,30,7.5,25,22.5,12,2011
4681,6920541317280,春娟祛痱止痒花露水98ML(玻璃瓶),98ML*40瓶,瓶,3,6,18,4.5,25,13.5,13,2011
4682,6920541317327,都市贝贝驱蚊花露水95ML(塑喷),95ML*60瓶,瓶,4,10.5,42,10.8,25.71,31.2,13,2011
4683,6920541317341,春娟夜巴黎香水95ML(塑喷),95ML*60瓶,瓶,5,10.5,52.5,13.5,25.71,39,8,2011
4684,6920541317389,春娟3号花露水40ML,40ML*100瓶,瓶,8,2.5,20,4.8,24,15.2,6,2011
4685,6920548825146,旺旺小馒头210克,210克*12包,包,14,8.5,119,18.2,15.29,100.8,10,1053
4686,6920548862028,旺旺五连QQ葡萄糖25克,25克*20袋,包,73,1,73,18.25,25,54.75,9,1053
4687,6920548862035,旺旺五连QQ凤梨糖25克,25克*20袋,包,94,1,94,23.5,25,70.5,35,1053
4688,6920548862042,旺旺五连QQ水蜜糖25克,25克*20袋,包,96,1,96,23.35,24.32,72.65,17,1053
4689,6920548862066,旺旺QQ桔子糖70克,70克*10包,包,56,2.5,140,28,20,112,57,1053
4690,6920548862073,旺旺QQ葡萄糖70克,70克*10包,包,47,2.5,117.5,23.5,20,94,10,1053
4691,6920548862080,旺旺QQ凤梨糖70克,70克*10包,包,55,2.5,137.5,27.5,20,110,46,1053
4692,6920548862097,旺旺QQ水蜜桃糖70克,70克*10包,包,23,2.5,57.5,11.5,20,46,14,1053
4693,6920548862837,旺旺五连QQ荔枝糖25克,25克,包,108,1,108,27,25,81,4,1053
4694,6920548862998,旺旺QQ荔枝糖70克,70克*10包,包,99,2.5,247.5,49.5,20,198,29,1053
4695,6920548867115,旺旺五连QQ草莓糖25克,25克*20袋,包,137,1,137,34.25,25,102.75,8,1053
4696,6920548867122,旺旺五连QQ蓝莓糖25克,25克,包,52,1,52,13,25,39,40,1053
4697,6920548867139,旺旺QQ草莓糖70克,70克*10包,包,63,2.5,157.5,31.5,20,126,6,1053
4698,6920548867146,旺旺QQ蓝莓糖70克,70克*10包,包,50,2.5,125,25,20,100,15,1053
4699,6920548867313,旺旺五连QQ青苹果糖25克,25克*20袋,包,115,1,115,28.75,25,86.25,44,1053
4700,6920548867320,旺旺QQ青苹果糖70克,70克*10包,包,84,2.5,210,42,20,168,-1,1053
4701,6920564167893,水塔陈醋350毫升(袋装),1*30袋,袋,35,1.8,63,10.5,16.67,52.5,-3,1074
4702,6920564190013,水塔陈醋420毫升,1*15,瓶,71,3.8,269.8,33.76,12.51,236.04,178,1074
4703,6920564190037,水塔老陈醋420毫升,1*15,瓶,85,4.5,382.5,70.55,18.44,311.95,65,1074
4704,6920564190709,水塔精制料酒500ML,500ML*15瓶,瓶,7,5.3,37.1,14.7,39.62,22.4,14,1074
4705,6920584471017,旺仔牛奶245毫升,1*24,罐,63,4,252,25.2,10,226.8,189,1083
4706,6920584471215,旺仔牛奶150毫升,1*20,听,88,2.6,228.8,52.8,23.08,176,145,1083
4707,6920608800038,怪怪牌怪味胡豆80克,80克*120袋,袋,15,1.9,28.5,4.5,15.79,24,20,1059
4708,6920608800373,怪怪牌怪味胡豆138克,138克*60袋,袋,6,3.8,22.8,3.6,15.79,19.2,6,1059
4709,6920608800427,怪怪牌兰花豆116克,116克*50袋,袋,1,2.7,2.7,0.4,14.81,2.3,3,1059
4710,6920609900010,芝麻官芝麻杆98克,98克*50,袋,1,3.9,3.9,1,25.64,2.9,10,1057
4711,6920609900423,芝麻官怪味胡豆70克,70克*120,袋,8,1.8,14.4,2.4,16.67,12,16,1057
4712,6920609900447,芝麻官烧烤豆干90克,90克*100,袋,10,3.5,35,7,20,28,10,1057
4713,6920609900539,芝麻官怪味胡豆120克,120克*70,袋,23,3.6,82.8,13.8,16.67,69,11,1057
4714,6920609900614,芝麻官泡椒豆干100克,100克*80,袋,4,3.6,14.4,2.4,16.67,12,8,1057
4715,6920609901383,芝麻官兰花豆50克(多口味),50克*140包,包,4,1.8,7.2,1.2,16.67,6,15,1057
4716,6920609901390,芝麻官兰花豆102克(多口味),102克80包,包,5,3.2,16,2.5,15.62,13.5,23,1057
4717,6920611063352,坚尔美小调羹6335(10)个,,个,5,4.5,22.5,4.5,20,18,2,2045
4718,6920611064526,坚尔美漏斗小号6452,,个,3,2,6,1.5,25,4.5,9,2045
4719,6920611065813,坚尔美漏斗中号6581,,个,2,2.2,4.4,0.8,18.18,3.6,8,2045
4720,6920611072521,坚尔美30P夹子,1*120,包,2,7.2,14.4,2.4,16.67,12,12,2045
4721,6920658210436,旺仔摇摇冻草莓92克,92克*16杯,杯,35,2.5,87.5,10.5,12,77,27,1053
4722,6920658210443,旺仔摇摇冻巧克力92克,92克*16杯,杯,22,2.5,55,6.6,12,48.4,40,1053
4723,6920658215837,旺旺果肉大果冻什锦果肉178克,178克*24杯,杯,10,3,30,4,13.33,26,8,1053
4724,6920658215844,旺旺果肉大果冻黄桃蜜桃果肉178克,178克*24杯,杯,3,3,9,1.2,13.33,7.8,18,1053
4725,6920658215851,旺旺果肉大果冻葡萄果肉178克,178克*24杯,杯,2,3,6,0.8,13.33,5.2,22,1053
4726,6920662251524,华都双格调味盒5152,,个,4,6.8,27.2,9.2,33.82,18,0,2059
4727,6920662261615,华都小号有耳饭盒6161,,个,1,6.5,6.5,1.9,29.23,4.6,3,2059
4728,6920662261622,华都大号有耳饭盒6162,,个,4,8,32,11.5,35.94,20.5,6,2059
4729,6920662296877,华都牙刷杯9687,,个,3,4.2,12.6,3.6,28.57,9,5,2059
4730,6920689856009,真丽斯360度防晒套装28#(防水抗汗),,套,17,32,409.8,1.8,0.44,408,30,2010
4731,6920689862673,真丽斯薰衣草305PH防晒乳60ML,,瓶,7,28,196,49,25,147,11,2010
4732,6920690110084,鑫峰保鲜袋0084,,扎,6,12.5,75,18,24,57,14,2045
4733,6920690110138,鑫峰无蕊垃圾袋0138B,45*50*50,卷,10,4.5,30,2,6.67,28,22,2045
4734,6920690110145,鑫峰无蕊垃圾袋0145,,卷,1,9.9,9.9,2.2,22.22,7.7,14,2045
4735,6920690110152,鑫峰中码手套(30只装)0152,0152,包,19,2.9,55.1,30.4,55.17,24.7,62,2045
4736,6920690110329,鑫峰卷平口垃圾袋0329,550*600*50个,卷,1,12,12,3.6,30,8.4,7,2045
4737,6920690110589,鑫峰一次性透明胶碗,,包,10,4.9,49,22,44.9,27,18,2045
4738,6920690110596,鑫峰一次性透明胶碗,,包,18,3.9,68.2,25,36.66,43.2,85,2045
4739,6920690110794,鑫峰吸管0794,,包,6,3.2,19.2,5.4,28.12,13.8,6,2045
4740,6920690111197,鑫峰保鲜膜30CM*20M1197,,卷,4,8.5,34,8.8,25.88,25.2,9,2045
4741,6920690111258,鑫峰三合一保鲜袋1258,1258,组,10,15.5,155,65,41.94,90,28,2045
4742,6920690111630,鑫峰背心型PE保鲜袋1630,26*32*100,卷,10,7.3,73,27.3,37.4,45.7,6,2045
4743,6920690111722,鑫峰PE加厚型保鲜膜1722,30*100,卷,6,11.8,70.8,18,25.42,52.8,9,2045
4744,6920690111739,鑫峰PE加厚型保鲜膜1739,20*80,卷,4,7.9,31.6,8.4,26.58,23.2,15,2045
4745,6920690111746,鑫峰背心型PE保鲜袋1746,20*25*100,卷,20,5,100,24,24,76,11,2045
4746,6920690111791,鑫峰保鲜袋1791,150*200*100个,卷,31,2.9,89.9,24.8,27.59,65.1,13,2045
4747,6920690112019,鑫峰台布10张装2019,160*160,包,13,6.9,63.7,16.9,26.53,46.8,0,2045
4748,6920690112071,鑫峰促销装PE保鲜膜2071,20*20,卷,6,3.5,21,7.8,37.14,13.2,12,2045
4749,6920690112385,鑫峰时尚围裙,,包,11,10.5,71.5,3.3,4.62,68.2,74,2045
4750,6920690112484,鑫峰双头特惠装牙签2484,,包,21,3.2,67.2,19.8,29.46,47.4,4,2045
4751,6920690112743,鑫峰精美竹骨牙签2743,,个,1,6.9,6.9,1.8,26.09,5.1,7,2045
4752,6920690112750,鑫峰精美竹骨牙签2750,,个,3,7.9,23.7,6.9,29.11,16.8,14,2045
4753,6920690112781,鑫峰竹林牙签2781,,盒,3,3.5,10.5,2.4,22.86,8.1,7,2045
4754,6920690112811,鑫峰袋装牙签(2811),,盒,30,1.2,36,9,25,27,21,2045
4755,6920690112880,鑫峰高级袋装牙签(2880),,盒,8,3.8,30.4,8,26.32,22.4,10,2045
4756,6920690112996,鑫峰袋装牙签(2996),,盒,4,4.8,19.2,5.6,29.17,13.6,10,2045
4757,6920690114020,鑫峰棉棒4020,1*12,盒,5,6.2,31,6,19.35,25,9,2045
4758,6920690114037,鑫峰棉棒4037,,盒,19,1.9,36.1,10.6,29.36,25.5,13,2045
4759,6920690114044,鑫峰棉棒4044,1*12,盒,9,3.3,29.7,7.2,24.24,22.5,16,2045
4760,6920690115133,鑫峰背心型加厚垃圾袋5133,45*60*100,卷,1,15.5,15.5,5.9,38.06,9.6,8,2045
4761,6920690115201,鑫峰背心型垃圾袋5201,550*700*80个,卷,5,17.9,89.5,21.5,24.02,68,11,2045
4762,6920708400015,动心一族乌梅85克,100克,包,10,3.8,38,8.7,22.89,29.3,28,1007
4763,6920708400022,动心一族E食代话芒果85克,1*100,包,5,3.8,19,5.5,28.95,13.5,53,1007
4764,6920708400046,动心一族茶梅105克,1*100,袋,5,3.8,19,4.5,23.68,14.5,24,1007
4765,6920708400077,动心一族正宗话梅75克,1*100,包,18,3.8,68.4,10.8,15.79,57.6,22,1007
4766,6920708400091,动心一族甘草梅李105克,1*100,袋,3,3.8,11.4,2.7,23.68,8.7,27,1007
4767,6920708400367,动心一族橄榄王100克,1*100,包,10,3.8,38,7.8,20.53,30.2,43,1007
4768,6920708400381,动心一族甜话梅48克,48克,包,147,2.5,282.3,17.7,6.27,264.6,16,1007
4769,6920708400404,动心一族薄荷梅80克,,包,8,2.5,20,4.8,24,15.2,34,1007
4770,6920708400411,动心一族甘草梅80克,80,包,12,2.5,30,4.8,16,25.2,17,1007
