序 号,出货条码,品名,规格,单位,:销售数量,售价,:销售金额,:毛利,:毛利率％,:成本金额,商品库存,最新货商
346,153156,全麦面包(咸),,个,100,3,300,300,100,0,-2549,5056
347,153169,瓜仁蛋糕,,个,31,2.5,77.5,77.5,100,0,-943,5056
348,153184,嘉伦(嘉辉)散饼,,公斤,163.16,19.6,3198.07,3197.98,100,0,-2905.41,5090
349,154042,卤水油果,,公斤,25.7,18,462.52,462.56,100,0,-1192.67,5016
350,154044,白卤水豆腐,,公斤,94.23,8,753.87,753.84,100,0,-2657.718,5016
351,154045,水豆腐,,份,393,1.2,471.6,471.6,100,0,-16849,5016
352,154046,豆腐片,,公斤,251.06,5.4,1355.45,1355.73,100,0,-6925.627,5016
353,154048,五香干豆腐,,公斤,34.52,13,448.71,448.73,100,0,-780.909,5016
354,154049,水豆腐,,组,9,1.4,12.6,12.6,100,0,-292,5016
355,154051,五香干豆腐丝（麻辣）,,公斤,32.38,13,420.98,420.97,100,0,-590.514,5016
356,154052,油果,,公斤,13.99,16,223.87,223.81,100,0,-864.539,5016
357,154053,油豆腐片,,公斤,14.91,16,238.66,238.62,100,0,-321.514,5016
358,154054,豆腐丸子,,公斤,0.19,11,2.09,2.09,100,0,-0.885,5016
359,154059,腐竹,,公斤,30.66,36,1103.9,1103.9,100,0,-1135.392,5016
360,154061,银耳红枣甜酒,,盒,21,5.3,111.3,111.3,100,0,-288,5016
361,154062,东大切粉,,公斤,2.3,3.2,7.36,7.36,100,0,-889.292,5016
362,154063,淡豆浆,,份,264,2.2,580.8,580.8,100,0,-9265,5016
363,154065,东大粉利6个/组,,袋,2,4,8,8,100,0,-2613,5016
364,154066,东大甜酒,,盒,29,5,145,145,100,0,-1581,5016
365,154071,八桂菜心,,扎,1,2.5,2.5,2.5,100,0,-2761,5021
366,154103,八桂茼蒿菜,,扎,1,2,2,2,100,0,-234,5021
367,154292,空心菜,,扎,475,2.8,1630,1630,100,0,-22148,5073
368,154293,红薯叶,,扎,75,2.8,262.5,262.5,100,0,-7035,5073
369,154294,生菜,,扎,620,2,1358,1358,100,0,-20921,5073
370,154296,苋菜,,扎,28,2.5,70,70,100,0,-2550,5073
371,154297,云南大白菜,,公斤,344.15,2,743.57,743.53,100,0,-18993.145,5073
